first,first_品詞,second,second_品詞,count
ふた,名詞,もの,名詞,7
もの,名詞,目,名詞,7
もう,副詞,二,名詞,7
こと,名詞,わし,名詞,7
窓,名詞,賊,名詞,7
二,名詞,少年,名詞,7
外,名詞,賊,名詞,7
壮太郎,名詞,老人,名詞,7
とき,名詞,もう,副詞,7
こと,名詞,相手,名詞,7
表門,名詞,裏門,名詞,7
ひと,名詞,警官,名詞,7
裏,名詞,部屋,名詞,7
こと,名詞,自動車,名詞,7
ぼく,名詞,部下,名詞,7
もの,名詞,室,名詞,7
美術,名詞,賊,名詞,7
ひと,名詞,探偵,名詞,7
こと,名詞,事件,名詞,7
こと,名詞,先生,名詞,7
外,名詞,門,名詞,7
こと,名詞,変装,名詞,7
老人,名詞,面相,名詞,7
ない,形容詞,二十,名詞,7
ない,形容詞,面相,名詞,7
ない,形容詞,明智,名詞,7
ない,形容詞,少しも,副詞,7
二十,名詞,少年,名詞,7
中,名詞,小林,名詞,7
カバン,名詞,中,名詞,7
なわ,名詞,ばしご,名詞,7
二十,名詞,面,名詞,7
警官,名詞,賊,名詞,7
の,名詞,小林,名詞,7
さすが,副詞,探偵,名詞,7
一,名詞,手,名詞,7
手,名詞,探偵,名詞,7
係長,名詞,顔,名詞,7
の,名詞,ぼく,名詞,7
ぼく,名詞,男,名詞,7
ほう,名詞,ぼく,名詞,7
二十,名詞,明智,名詞,7
二十,名詞,探偵,名詞,7
明智,名詞,面相,名詞,7
探偵,名詞,面相,名詞,7
名画,名詞,老人,名詞,7
それぞれ,副詞,三,名詞,7
姿,名詞,明智,名詞,7
ぼく,名詞,一,名詞,7
ふた,名詞,明智,名詞,7
しばらく,副詞,明智,名詞,7
十面相,名詞,探偵,名詞,7
いきなり,副詞,明智,名詞,7
外務,名詞,辻野,名詞,7
明智,名詞,辻野,名詞,7
省,名詞,辻野,名詞,7
博物,名詞,品,名詞,7
品,名詞,館,名詞,7
十,名詞,十二,名詞,7
きみ,名詞,少し,副詞,7
品,名詞,盗難,名詞,7
エレベーター,名詞,ボーイ,名詞,7
うらみ,名詞,明智,名詞,7
団,名詞,少年,名詞,7
三,名詞,館,名詞,7
明智,名詞,館長,名詞,7
にせもの,名詞,美術,名詞,7
にせもの,名詞,品,名詞,7
員,名詞,宿直,名詞,7
二十,名詞,顔,名詞,6
二十,名詞,新聞,名詞,6
新聞,名詞,面相,名詞,6
こと,名詞,まったく,副詞,6
ない,形容詞,ようす,名詞,6
力,名詞,明智,名詞,6
一,名詞,探偵,名詞,6
小林,名詞,芳雄,名詞,6
助手,名詞,探偵,名詞,6
助手,名詞,少年,名詞,6
二,名詞,洋館,名詞,6
二,名詞,庭,名詞,6
こと,名詞,十,名詞,6
もの,名詞,人,名詞,6
姿,名詞,少年,名詞,6
ひと,名詞,少年,名詞,6
二,名詞,窓,名詞,6
ぼく,名詞,賊,名詞,6
わな,名詞,賊,名詞,6
こと,名詞,わな,名詞,6
の,名詞,壮,名詞,6
ところ,名詞,中,名詞,6
こと,名詞,話,名詞,6
たちまち,副詞,賊,名詞,6
もの,名詞,少年,名詞,6
ぼく,名詞,部屋,名詞,6
上,名詞,二,名詞,6
きみ,名詞,二,名詞,6
きみ,名詞,もの,名詞,6
こと,名詞,手,名詞,6
こと,名詞,目,名詞,6
自動車,名詞,運転手,名詞,6
ガラス,名詞,窓,名詞,6
の,名詞,ふた,名詞,6
ふた,名詞,中,名詞,6
ない,形容詞,異状,名詞,6
二,名詞,男,名詞,6
こと,名詞,十面相,名詞,6
ない,形容詞,ほか,名詞,6
ゆくえ,名詞,不明だ,形容詞,6
さも,副詞,二,名詞,6
ところ,名詞,窓,名詞,6
人々,名詞,賊,名詞,6
壮太郎,名詞,近藤,名詞,6
上,名詞,中,名詞,6
光,名詞,電燈,名詞,6
相手,名詞,賊,名詞,6
姿,名詞,賊,名詞,6
一,名詞,上,名詞,6
ほう,名詞,二,名詞,6
松野,名詞,運転手,名詞,6
警官,名詞,隊,名詞,6
番,名詞,見はり,名詞,6
ない,形容詞,力,名詞,6
ひと,名詞,三,名詞,6
中,名詞,口,名詞,6
中,名詞,目,名詞,6
こと,名詞,東京,名詞,6
こと,名詞,ひと,名詞,6
一,名詞,自動車,名詞,6
中,名詞,室,名詞,6
もの,名詞,美術,名詞,6
三,名詞,室,名詞,6
こと,名詞,警察,名詞,6
こと,名詞,彼,名詞,6
二,名詞,室,名詞,6
品,名詞,賊,名詞,6
の,名詞,老人,名詞,6
探偵,名詞,警察,名詞,6
人,名詞,探偵,名詞,6
先生,名詞,小林,名詞,6
ぼく,名詞,小林,名詞,6
室,名詞,小林,名詞,6
少年,名詞,手,名詞,6
きみ,名詞,の,名詞,6
あなた,名詞,こと,名詞,6
室,名詞,少年,名詞,6
ぼく,名詞,まえ,名詞,6
何,名詞,小林,名詞,6
声,名詞,老人,名詞,6
室,名詞,賊,名詞,6
ひと,名詞,男,名詞,6
もの,名詞,男,名詞,6
こと,名詞,へんだ,形容詞,6
の,名詞,顔,名詞,6
二,名詞,手,名詞,6
もの,名詞,今,名詞,6
ない,形容詞,室,名詞,6
いきなり,副詞,賊,名詞,6
ところ,名詞,ない,形容詞,6
二十,名詞,小林,名詞,6
少年,名詞,面相,名詞,6
ピッポ,名詞,少年,名詞,6
小林,名詞,窓,名詞,6
いったい,副詞,こと,名詞,6
一,名詞,窓,名詞,6
もう,副詞,探偵,名詞,6
こと,名詞,ほう,名詞,6
中,名詞,老人,名詞,6
ひげ,名詞,顔,名詞,6
もう,副詞,二十,名詞,6
城,名詞,老人,名詞,6
二十,名詞,美術,名詞,6
こと,名詞,三,名詞,6
口調,名詞,明智,名詞,6
声,名詞,明智,名詞,6
まだ,副詞,明智,名詞,6
明智,名詞,気,名詞,6
探偵,名詞,盗賊,名詞,6
二,名詞,部下,名詞,6
博物,名詞,国立,名詞,6
国立,名詞,館,名詞,6
ほう,名詞,探偵,名詞,6
きみ,名詞,二十,名詞,6
きみ,名詞,面相,名詞,6
手下,名詞,賊,名詞,6
ぼく,名詞,今,名詞,6
わし,名詞,男,名詞,6
ほど,名詞,二,名詞,6
乞食,名詞,男,名詞,6
北小路,名詞,館長,名詞,6
総監,名詞,館長,名詞,6
室,名詞,陳列,名詞,6
明智,名詞,老,名詞,6
三,名詞,員,名詞,6
探偵,名詞,総監,名詞,6
まるで,副詞,二十,名詞,5
まるで,副詞,面相,名詞,5
乞食,名詞,人,名詞,5
こと,名詞,ほんとうだ,形容詞,5
ほんとうだ,形容詞,顔,名詞,5
ほんとうだ,形容詞,賊,名詞,5
前,名詞,顔,名詞,5
もの,名詞,警察,名詞,5
目,名詞,顔,名詞,5
こと,名詞,美術,名詞,5
こと,名詞,品,名詞,5
一,名詞,美術,名詞,5
いくら,副詞,こと,名詞,5
こと,名詞,身,名詞,5
今,名詞,賊,名詞,5
一,名詞,面相,名詞,5
まえ,名詞,腕,名詞,5
力,名詞,探偵,名詞,5
力,名詞,賊,名詞,5
広い,形容詞,庭,名詞,5
壮太郎,名詞,羽柴,名詞,5
ボルネオ,名詞,島,名詞,5
一,名詞,十,名詞,5
一,名詞,三,名詞,5
二,名詞,早苗,名詞,5
まだ,副詞,二,名詞,5
壮,名詞,早苗,名詞,5
予告,名詞,二十,名詞,5
おそろしい,形容詞,二十,名詞,5
予告,名詞,面相,名詞,5
ダイヤモンド,名詞,六,名詞,5
の,名詞,手,名詞,5
支配人,名詞,近藤,名詞,5
おまわりさん,名詞,こと,名詞,5
こと,名詞,日,名詞,5
ひと,名詞,姿,名詞,5
二十,名詞,宝物,名詞,5
二,名詞,二十,名詞,5
宝物,名詞,面相,名詞,5
二,名詞,面相,名詞,5
庭,名詞,窓,名詞,5
こと,名詞,気,名詞,5
とき,名詞,二,名詞,5
こと,名詞,もし,副詞,5
もし,副詞,賊,名詞,5
こと,名詞,壮,名詞,5
こと,名詞,ところ,名詞,5
二十,名詞,十,名詞,5
ところ,名詞,人,名詞,5
中,名詞,二,名詞,5
中,名詞,家,名詞,5
こと,名詞,諸君,名詞,5
老人,名詞,車,名詞,5
老人,名詞,自動車,名詞,5
二,名詞,老人,名詞,5
うしろ,名詞,姿,名詞,5
自動車,名詞,車,名詞,5
もの,名詞,上,名詞,5
もの,名詞,部屋,名詞,5
げんじゅうだ,形容詞,警戒,名詞,5
自動車,名詞,警官,名詞,5
事件,名詞,二十,名詞,5
事件,名詞,面相,名詞,5
さも,副詞,顔,名詞,5
まだ,副詞,賊,名詞,5
もの,名詞,面相,名詞,5
こと,名詞,不可能だ,形容詞,5
まったく,副詞,不可能だ,形容詞,5
箱,名詞,部屋,名詞,5
イス,名詞,上,名詞,5
ふた,名詞,目,名詞,5
ガラス,名詞,戸,名詞,5
ふた,名詞,部屋,名詞,5
の,名詞,何,名詞,5
あいだ,名詞,一,名詞,5
こと,名詞,ばかだ,形容詞,5
あいだ,名詞,しばらく,副詞,5
こと,名詞,ようす,名詞,5
ない,形容詞,手,名詞,5
何,名詞,顔,名詞,5
おかしい,形容詞,何,名詞,5
壁,名詞,部屋,名詞,5
ねらい,名詞,ピストル,名詞,5
こと,名詞,だれ,名詞,5
の,名詞,中,名詞,5
廊下,名詞,賊,名詞,5
の,名詞,少年,名詞,5
中,名詞,池,名詞,5
たちまち,副詞,二,名詞,5
三,名詞,中,名詞,5
捕り,名詞,物,名詞,5
こと,名詞,姿,名詞,5
こと,名詞,せっかく,副詞,5
もう,副詞,人,名詞,5
もう,副詞,十,名詞,5
森,名詞,立ち,名詞,5
木,名詞,森,名詞,5
塀,名詞,外,名詞,5
署,名詞,警察,名詞,5
ほう,名詞,老人,名詞,5
池,名詞,竹,名詞,5
ない,形容詞,声,名詞,5
捜査,名詞,警視,名詞,5
庁,名詞,捜査,名詞,5
きのう,名詞,夕方,名詞,5
もう,副詞,一,名詞,5
刑事,名詞,声,名詞,5
刑事,名詞,目,名詞,5
あす,名詞,こ,名詞,5
ところ,名詞,二,名詞,5
ところ,名詞,三,名詞,5
もの,名詞,三,名詞,5
やみ,名詞,中,名詞,5
の,名詞,三,名詞,5
中,名詞,車,名詞,5
中,名詞,門,名詞,5
中,名詞,今,名詞,5
もの,名詞,部下,名詞,5
姿,名詞,室,名詞,5
二,名詞,地下,名詞,5
事件,名詞,探偵,名詞,5
こと,名詞,小五郎,名詞,5
事件,名詞,明智,名詞,5
こと,名詞,自身,名詞,5
ふた,名詞,老人,名詞,5
あいだ,名詞,もの,名詞,5
こと,名詞,危険だ,形容詞,5
こと,名詞,子ども,名詞,5
ため,名詞,探偵,名詞,5
美術,名詞,老人,名詞,5
ひと,名詞,室,名詞,5
外,名詞,男,名詞,5
ひと,名詞,もう,副詞,5
三,名詞,老人,名詞,5
乞食,名詞,二十,名詞,5
こと,名詞,地下,名詞,5
かくれが,名詞,二十,名詞,5
中,名詞,仏像,名詞,5
千,名詞,札,名詞,5
まえ,名詞,二十,名詞,5
まえ,名詞,面相,名詞,5
美術,名詞,館,名詞,5
二,名詞,怪盗,名詞,5
小林,名詞,賊,名詞,5
こと,名詞,少しも,副詞,5
ぼく,名詞,十面相,名詞,5
小林,名詞,面相,名詞,5
きみ,名詞,十面相,名詞,5
ピッポ,名詞,小林,名詞,5
こと,名詞,ほど,名詞,5
小林,名詞,手,名詞,5
バト,名詞,伝書,名詞,5
ぼく,名詞,中,名詞,5
ところ,名詞,小林,名詞,5
小林,名詞,目,名詞,5
ない,形容詞,窓,名詞,5
ごうし,名詞,鉄,名詞,5
窓,名詞,鉄,名詞,5
の,名詞,ほど,名詞,5
二十,名詞,相,名詞,5
相,名詞,面,名詞,5
小林,名詞,顔,名詞,5
ほど,名詞,明智,名詞,5
やがて,副詞,顔,名詞,5
もう,副詞,少年,名詞,5
とき,名詞,少年,名詞,5
もう,副詞,小林,名詞,5
一,名詞,小林,名詞,5
もの,名詞,ホテル,名詞,5
屋根,名詞,裏,名詞,5
屋根,名詞,部屋,名詞,5
係長,名詞,少年,名詞,5
四,名詞,警官,名詞,5
きみ,名詞,まえ,名詞,5
ない,形容詞,人,名詞,5
老人,名詞,顔,名詞,5
ない,形容詞,顔,名詞,5
ぼく,名詞,外,名詞,5
男,名詞,顔,名詞,5
ところ,名詞,もう,副詞,5
もう,副詞,面相,名詞,5
左門,名詞,日下部,名詞,5
左,名詞,門,名詞,5
老人,名詞,門,名詞,5
左,名詞,老人,名詞,5
二,名詞,手下,名詞,5
ため,名詞,明智,名詞,5
美術,名詞,面相,名詞,5
さも,副詞,明智,名詞,5
宝物,名詞,日下部,名詞,5
三,名詞,刑事,名詞,5
刑事,名詞,老人,名詞,5
こと,名詞,館,名詞,5
の,名詞,博物,名詞,5
の,名詞,館,名詞,5
明智,名詞,門,名詞,5
もの,名詞,老人,名詞,5
中,名詞,刑事,名詞,5
さしず,名詞,明智,名詞,5
室,名詞,明智,名詞,5
外,名詞,明智,名詞,5
中,名詞,男,名詞,5
中,名詞,棚,名詞,5
剤,名詞,麻酔,名詞,5
あんた,名詞,明智,名詞,5
やがて,副詞,明智,名詞,5
探偵,名詞,男,名詞,5
東京,名詞,駅,名詞,5
プラットホーム,名詞,小林,名詞,5
こと,名詞,省,名詞,5
こと,名詞,外務,名詞,5
夫人,名詞,明智,名詞,5
二十,名詞,品,名詞,5
博物,名詞,長,名詞,5
長,名詞,館,名詞,5
二,名詞,気,名詞,5
やがて,副詞,気,名詞,5
イス,名詞,安楽だ,形容詞,5
すっかり,副詞,品,名詞,5
品,名詞,手,名詞,5
中,名詞,探偵,名詞,5
ひと,名詞,員,名詞,5
探偵,名詞,警視,名詞,5
明智,名詞,警視,名詞,5
ほど,名詞,十面相,名詞,5
紙,名詞,芝居,名詞,5
中,名詞,乞食,名詞,5
乞食,名詞,探偵,名詞,5
ポーチ,名詞,明智,名詞,5
明智,名詞,浮浪,名詞,5
うらみ,名詞,きみ,名詞,5
乞食,名詞,部下,名詞,5
乞食,名詞,寅三,名詞,5
男,名詞,赤井,名詞,5
寅三,名詞,明智,名詞,5
午後,名詞,四,名詞,5
博士,名詞,館長,名詞,5
北小路,名詞,老,名詞,5
ひと,名詞,館,名詞,5
手,名詞,館長,名詞,5
明智,名詞,陳列,名詞,5
部長,名詞,陳列,名詞,5
品,名詞,模造,名詞,5
博士,名詞,手,名詞,5
宿直,名詞,館,名詞,5
ゆうべ,名詞,三,名詞,5
二十,名詞,怪人,名詞,4
二十,名詞,東京,名詞,4
ふた,名詞,顔,名詞,4
ふた,名詞,まるで,副詞,4
怪人,名詞,面相,名詞,4
東京,名詞,面相,名詞,4
新聞,名詞,記事,名詞,4
まったく,副詞,人,名詞,4
いく,名詞,こと,名詞,4
あぶない,形容詞,こと,名詞,4
こと,名詞,やつ,名詞,4
ため,名詞,もの,名詞,4
いくら,副詞,もの,名詞,4
の,名詞,人,名詞,4
の,名詞,東京,名詞,4
いくら,副詞,賊,名詞,4
ない,形容詞,警察,名詞,4
うち,名詞,明智,名詞,4
助手,名詞,明智,名詞,4
少年,名詞,芳雄,名詞,4
いよいよ,副詞,こと,名詞,4
わな,名詞,鉄,名詞,4
とびら,名詞,門,名詞,4
ため,名詞,の,名詞,4
何,名詞,壮太郎,名詞,4
三,名詞,十,名詞,4
一,名詞,男,名詞,4
ない,形容詞,三,名詞,4
あさ,名詞,おか,名詞,4
あさ,名詞,ま,名詞,4
おか,名詞,ま,名詞,4
二十,名詞,状,名詞,4
二十,名詞,羽柴,名詞,4
状,名詞,面相,名詞,4
おそろしい,形容詞,面相,名詞,4
羽柴,名詞,面相,名詞,4
ダイヤモンド,名詞,手,名詞,4
壮太郎,名詞,書斎,名詞,4
主人,名詞,壮太郎,名詞,4
老人,名詞,賊,名詞,4
羽柴,名詞,近藤,名詞,4
二,名詞,羽柴,名詞,4
三,名詞,壮太郎,名詞,4
中,名詞,二十,名詞,4
おまわりさん,名詞,賊,名詞,4
の,名詞,帰宅,名詞,4
ほど,名詞,もの,名詞,4
ひと,名詞,羽柴,名詞,4
少年,名詞,羽柴,名詞,4
二,名詞,姿,名詞,4
壮,名詞,姿,名詞,4
おそろしい,形容詞,二,名詞,4
もの,名詞,壮,名詞,4
二,名詞,書斎,名詞,4
こと,名詞,夢,名詞,4
なんだか,副詞,気,名詞,4
とおり,名詞,ぼく,名詞,4
わな,名詞,二,名詞,4
よい,形容詞,人,名詞,4
こと,名詞,庭,名詞,4
庭,名詞,賊,名詞,4
もの,名詞,十,名詞,4
うえ,名詞,二,名詞,4
たちまち,副詞,中,名詞,4
つき,名詞,子ども,名詞,4
じつに,副詞,子ども,名詞,4
子ども,名詞,思い,名詞,4
こと,名詞,読者,名詞,4
こと,名詞,よく,副詞,4
ひげ,名詞,目,名詞,4
姿,名詞,老人,名詞,4
うしろ,名詞,老人,名詞,4
あと,名詞,自動車,名詞,4
二,名詞,自動車,名詞,4
あいだ,名詞,少年,名詞,4
二,名詞,部屋,名詞,4
まだ,副詞,部屋,名詞,4
うれしい,形容詞,こと,名詞,4
おそろしい,形容詞,じつに,副詞,4
の,名詞,姿,名詞,4
こと,名詞,壮太郎,名詞,4
おまえ,名詞,わし,名詞,4
ふた,名詞,前,名詞,4
ひと,名詞,前,名詞,4
二,名詞,早い,形容詞,4
二,名詞,壮太郎,名詞,4
あいつ,名詞,こと,名詞,4
すっかり,副詞,ぼく,名詞,4
ほど,名詞,ぼく,名詞,4
おそろしい,形容詞,やつ,名詞,4
おまえ,名詞,賊,名詞,4
塀,名詞,賊,名詞,4
人,名詞,目,名詞,4
こと,名詞,やすやす,副詞,4
とき,名詞,男,名詞,4
あいだ,名詞,少し,副詞,4
わし,名詞,少し,副詞,4
すみ,名詞,部屋,名詞,4
上,名詞,台座,名詞,4
中,名詞,箱,名詞,4
ふた,名詞,音,名詞,4
上,名詞,何,名詞,4
とき,名詞,もの,名詞,4
下,名詞,机,名詞,4
もの,名詞,下,名詞,4
の,名詞,棚,名詞,4
一,名詞,二,名詞,4
もう,副詞,十面相,名詞,4
もう,副詞,もの,名詞,4
十面相,名詞,男,名詞,4
あいだ,名詞,何,名詞,4
一,名詞,何,名詞,4
こと,名詞,はず,名詞,4
こと,名詞,心配,名詞,4
ない,形容詞,目,名詞,4
こと,名詞,ほか,名詞,4
こと,名詞,ダイヤモンド,名詞,4
もの,名詞,わし,名詞,4
手,名詞,部屋,名詞,4
こと,名詞,羽柴,名詞,4
いったい,副詞,何者,名詞,4
あなた,名詞,ぼく,名詞,4
あなた,名詞,二十,名詞,4
あなた,名詞,面相,名詞,4
相手,名詞,顔,名詞,4
あいだ,名詞,こと,名詞,4
こと,名詞,想像,名詞,4
ぼく,名詞,手紙,名詞,4
さも,副詞,十面相,名詞,4
ダイヤモンド,名詞,中,名詞,4
こと,名詞,ピストル,名詞,4
の,名詞,窓,名詞,4
少年,名詞,窓,名詞,4
壮太郎,名詞,庭,名詞,4
人,名詞,電燈,名詞,4
すぐ,副詞,賊,名詞,4
はげしい,形容詞,音,名詞,4
二,名詞,黒い,形容詞,4
三,名詞,賊,名詞,4
二,名詞,子ども,名詞,4
四,名詞,賊,名詞,4
二,名詞,十,名詞,4
人,名詞,十面相,名詞,4
上,名詞,先,名詞,4
上,名詞,賊,名詞,4
中,名詞,森,名詞,4
外,名詞,警官,名詞,4
外,名詞,見はり,名詞,4
賊,名詞,身,名詞,4
ただ,副詞,自動車,名詞,4
ひと,名詞,運転手,名詞,4
ひと,名詞,自動車,名詞,4
ひと,名詞,人々,名詞,4
岸,名詞,池,名詞,4
みょうだ,形容詞,もの,名詞,4
ぎれ,名詞,池,名詞,4
こと,名詞,ふしぎだ,形容詞,4
ない,形容詞,口,名詞,4
学校,名詞,運転手,名詞,4
中村,名詞,警視,名詞,4
係長,名詞,警視,名詞,4
中村,名詞,庁,名詞,4
係長,名詞,庁,名詞,4
ところ,名詞,今,名詞,4
周到だ,形容詞,用意,名詞,4
じつに,副詞,用意,名詞,4
ほう,名詞,一,名詞,4
三,名詞,力,名詞,4
三,名詞,四,名詞,4
係長,名詞,四,名詞,4
ひも,名詞,絹,名詞,4
二,名詞,顔,名詞,4
もの,名詞,口,名詞,4
はし,名詞,もの,名詞,4
用意,名詞,賊,名詞,4
誘かい,名詞,賊,名詞,4
ため,名詞,誘かい,名詞,4
こと,名詞,庁,名詞,4
こと,名詞,係長,名詞,4
こと,名詞,警視,名詞,4
二,名詞,庁,名詞,4
二,名詞,警視,名詞,4
ひと,名詞,日,名詞,4
おそろしい,形容詞,ことば,名詞,4
ぼく,名詞,十,名詞,4
観世,名詞,音像,名詞,4
美術,名詞,部下,名詞,4
二,名詞,仏像,名詞,4
仏像,名詞,壮,名詞,4
もし,副詞,もの,名詞,4
彼,名詞,賊,名詞,4
手,名詞,美術,名詞,4
地下,名詞,姿,名詞,4
の,名詞,美術,名詞,4
むろん,副詞,品,名詞,4
むろん,副詞,賊,名詞,4
探偵,名詞,東京,名詞,4
口,名詞,老人,名詞,4
人物,名詞,明智,名詞,4
こと,名詞,名,名詞,4
事件,名詞,依頼,名詞,4
かわいらしい,形容詞,少年,名詞,4
室,名詞,応接,名詞,4
もの,名詞,小林,名詞,4
壮太郎,名詞,目,名詞,4
壮太郎,名詞,少年,名詞,4
三,名詞,目,名詞,4
事務,名詞,所,名詞,4
ぼく,名詞,探偵,名詞,4
口,名詞,探偵,名詞,4
こと,名詞,電話,名詞,4
きみ,名詞,今,名詞,4
事件,名詞,関係,名詞,4
室,名詞,老人,名詞,4
