reader_id,original_text,publisher,published_date,is_parent
57187,江戸川乱歩全集　第九巻,平凡社,1932-3,True
57187,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004-7-20,False
57188,江戸川乱歩全集　第十巻,平凡社,1931-9,True
57188,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004-7-20,False
57106,超人ニコラ／大金塊,江戸川乱歩推理文庫、講談社,1988-10-8,False
58462,心理試験,河出書房,1951-5,True
58462,江戸川乱歩全集　第15巻　三角館の恐怖,光文社文庫、光文社,2004-2-20,False
57502,新版　探偵小説の「謎」,現代教養文庫、社会思想社,1956-6-25,False
56686,おれは二十面相だ／妖星人Ｒ,江戸川乱歩推理文庫、講談社,1988-9-8,False
57533,少年倶楽部,大日本雄弁会講談社,1943-7,True
57533,江戸川乱歩全集　第14巻　新宝島,光文社文庫、光文社,2004-1-20,False
57107,超人ニコラ／大金塊,江戸川乱歩推理文庫、講談社,1988-10-8,False
58463,江戸川乱歩全集　第十五巻,春陽堂,1955-11,True
58463,江戸川乱歩全集　第18巻　月と手袋,光文社文庫、光文社,2004-10-20,False
58464,江戸川乱歩全集　第十八巻,桃源社,1963-6,True
58464,江戸川乱歩全集　第21巻　ふしぎな人,光文社文庫、光文社,2005-3-20,False
56650,江戸川乱歩全集　第三巻,平凡社,1932-1,True
56650,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004-7-20,False
57108,塔上の奇術師／鉄人Ｑ,江戸川乱歩推理文庫、講談社,1988-7-8,False
56675,鉄塔の怪人／海底の魔術師,江戸川乱歩推理文庫、講談社,1988-2-8,False
56687,おれは二十面相だ／妖星人Ｒ,江戸川乱歩推理文庫、講談社,1988-9-8,False
56689,仮面の恐怖王／電人Ｍ,江戸川乱歩推理文庫、講談社,1988-8-8,False
57109,塔上の奇術師／鉄人Ｑ,江戸川乱歩推理文庫、講談社,1988-7-8,False
57189,江戸川乱歩全集　第三巻,平凡社,1932-1,True
57189,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004-7-20,False
57229,虎の牙／透明怪人,江戸川乱歩推理文庫、講談社,1987-12-8,False
57509,創作探偵小説集第二巻　屋根裏の散歩者,春陽堂,1926-1,True
57509,江戸川乱歩全集　第3巻　陰獣,光文社文庫、光文社,2005-11-20,False
56672,虎の牙／透明怪人,江戸川乱歩推理文庫、講談社,1987-12-8,False
57243,江戸川乱歩全集　第三巻,平凡社,1932-1,True
57243,江戸川乱歩全集　第7巻　黄金仮面,光文社文庫、光文社,2003-9-20,False
56647,江戸川乱歩全集　第一巻,平凡社,1931-6,True
56647,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004-7-20,False
57190,江戸川乱歩全集　第九巻,平凡社,1932-3,True
57190,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004-7-20,False
57191,江戸川乱歩全集　第二巻,平凡社,1931-10,True
57191,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004-7-20,False
56648,江戸川乱歩全集　第一巻,平凡社,1931-7,True
56648,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004-7-20,False
58170,屋根裏の散歩者,角川ホラー文庫、角川書店,1994-4-10,False
56676,灰色の巨人／魔法博士,江戸川乱歩推理文庫、講談社,1988-3-8,False
57510,創作探偵小説集第四巻　湖畔亭事件,春陽堂,1926-9,True
57510,江戸川乱歩全集　第3巻　陰獣,光文社文庫、光文社,2005-11-20,False
57192,江戸川乱歩全集　第五巻,平凡社,1931-7,True
57192,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004-7-20,False
56651,創作探偵小説集第七巻,春陽堂,1927-3-20,True
56651,江戸川乱歩全集　第2巻　パノラマ島綺譚,光文社文庫、光文社,2004-8-20,False
57511,創作探偵小説集第四巻,春陽堂,1926-9-26,True
57511,江戸川乱歩全集　第3巻　陰獣,光文社文庫、光文社,2005-11-20,False
57414,幻影城,岩谷書店,1954-7,True
57414,日本推理作家協会賞受賞作全集　7　幻影城,双葉文庫、双葉社,1995-5-15,False
57193,江戸川乱歩全集　第六巻,平凡社,1931-11,True
57193,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004-7-20,False
57520,江戸川乱歩全集　第8巻　目羅博士の不思議な犯罪,光文社文庫、光文社,2004-6-20,False
57194,江戸川乱歩全集　第二巻,平凡社,1931-10,True
57194,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004-7-20,False
