reader_id,name,file_name,teihon,publisher,published_date
58463,月と手袋,tsukito_tebukuro,江戸川乱歩全集 第18巻 月と手袋,光文社文庫、光文社,2004-10-20
58464,妻に失恋した男,tsumani_shitsuren_shita_otoko,江戸川乱歩全集 第21巻 ふしぎな人,光文社文庫、光文社,2005-03-20
56650,D坂の殺人事件,d_zakano_satsujin_jiken,江戸川乱歩全集 第1巻 屋根裏の散歩者,光文社文庫、光文社,2004-07-20
57108,鉄人Q,tetsujin_kyu,塔上の奇術師／鉄人Ｑ,江戸川乱歩推理文庫、講談社,1988-07-08
56675,鉄塔の怪人,tettono_kaijin,鉄塔の怪人／海底の魔術師,江戸川乱歩推理文庫、講談社,1988-02-08
56687,天空の魔人,tenkuno_majin,おれは二十面相だ／妖星人Ｒ,江戸川乱歩推理文庫、講談社,1988-09-08
56689,電人M,denjin_emu,仮面の恐怖王／電人Ｍ,江戸川乱歩推理文庫、講談社,1988-08-08
57109,塔上の奇術師,tojono_kijutsushi,塔上の奇術師／鉄人Ｑ,江戸川乱歩推理文庫、講談社,1988-07-08
57189,盗難,tonan,江戸川乱歩全集 第1巻 屋根裏の散歩者,光文社文庫、光文社,2004-07-20
57229,透明怪人,tomei_kaijin,虎の牙／透明怪人,江戸川乱歩推理文庫、講談社,1987-12-08
57509,毒草,dokuso,江戸川乱歩全集 第3巻 陰獣,光文社文庫、光文社,2005-11-20
56672,虎の牙,torano_kiba,虎の牙／透明怪人,江戸川乱歩推理文庫、講談社,1987-12-08
57243,何者,nanimono,江戸川乱歩全集 第7巻 黄金仮面,光文社文庫、光文社,2003-09-20
56647,二銭銅貨,nisen_doka,江戸川乱歩全集 第1巻 屋根裏の散歩者,光文社文庫、光文社,2004-07-20
57190,日記帳,nikkicho,江戸川乱歩全集 第1巻 屋根裏の散歩者,光文社文庫、光文社,2004-07-20
57191,二癈人,nihaijin,江戸川乱歩全集 第1巻 屋根裏の散歩者,光文社文庫、光文社,2004-07-20
56648,人間椅子,ningen_isu,江戸川乱歩全集 第1巻 屋根裏の散歩者,光文社文庫、光文社,2004-07-20
58170,人間豹,ningen_hyo,屋根裏の散歩者,角川ホラー文庫、角川書店,1994-04-10
56676,灰色の巨人,haiirono_kyojin,灰色の巨人／魔法博士,江戸川乱歩推理文庫、講談社,1988-03-08
57510,灰神楽,haikagura,江戸川乱歩全集 第3巻 陰獣,光文社文庫、光文社,2005-11-20
57192,白昼夢,hakuchumu,江戸川乱歩全集 第1巻 屋根裏の散歩者,光文社文庫、光文社,2004-07-20
56651,パノラマ島綺譚,panoramato_kidan,江戸川乱歩全集 第2巻 パノラマ島綺譚,光文社文庫、光文社,2004-08-20
57511,人でなしの恋,hitodenashino_koi,江戸川乱歩全集 第3巻 陰獣,光文社文庫、光文社,2005-11-20
57414,一人の芭蕉の問題,hitorino_bashono_mondai,日本推理作家協会賞受賞作全集 7 幻影城,双葉文庫、双葉社,1995-05-15
57193,一人二役,hitori_futayaku,江戸川乱歩全集 第1巻 屋根裏の散歩者,光文社文庫、光文社,2004-07-20
57520,火縄銃,hinawaju,江戸川乱歩全集 第8巻 目羅博士の不思議な犯罪,光文社文庫、光文社,2004-06-20
57194,百面相役者,hyakumenso_yakusha,江戸川乱歩全集 第1巻 屋根裏の散歩者,光文社文庫、光文社,2004-07-20
57512,覆面の舞踏者,fukumenno_butosha,江戸川乱歩全集 第3巻 陰獣,光文社文庫、光文社,2005-11-20
57230,ふしぎな人,fushigina_hito,江戸川乱歩全集 第21巻 ふしぎな人,光文社文庫、光文社,2005-03-20
56682,魔法人形,maho_ningyo,魔法人形／サーカスの怪人,江戸川乱歩推理文庫、講談社,1988-05-06
56679,魔法博士,maho_hakase,灰色の巨人／魔法博士,江戸川乱歩推理文庫、講談社,1988-03-08
57165,まほうやしき,maho_yashiki,文庫の雑誌／ぼくらの推理冒険物語 少年探偵王 本格推理マガジン,光文社文庫、光文社,2002-04-20
57195,夢遊病者の死,muyubyoshano_shi,江戸川乱歩全集 第1巻 屋根裏の散歩者,光文社文庫、光文社,2004-07-20
57521,目羅博士の不思議な犯罪,mera_hakaseno_fushigina_hanzai,江戸川乱歩全集 第8巻 目羅博士の不思議な犯罪,光文社文庫、光文社,2004-06-20
57513,木馬は廻る,mokubawa_mawaru,江戸川乱歩全集 第3巻 陰獣,光文社文庫、光文社,2005-11-20
57514,モノグラム,monoguramu,江戸川乱歩全集 第3巻 陰獣,光文社文庫、光文社,2005-11-20
56684,夜光人間,yako_ningen,奇面城の秘密／夜光人間,江戸川乱歩推理文庫、講談社,1988-06-08
56649,屋根裏の散歩者,yaneurano_sanposha,江戸川乱歩全集 第1巻 屋根裏の散歩者,光文社文庫、光文社,2004-07-20
57196,幽霊,yurei,江戸川乱歩全集 第1巻 屋根裏の散歩者,光文社文庫、光文社,2004-07-20
58465,指,yubi,江戸川乱歩全集 第22巻 ぺてん師と空気男,光文社文庫、光文社,2005-09-20
57197,指環,yubiwa,江戸川乱歩全集 第1巻 屋根裏の散歩者,光文社文庫、光文社,2004-07-20
56670,妖怪博士,yokai_hakase,妖怪博士／青銅の魔人,江戸川乱歩推理文庫、講談社,1987-11-06
56681,妖人ゴング,yojin_gongu,黄金豹／妖人ゴング,江戸川乱歩推理文庫、講談社,1988-04-08
56691,妖星人R,yoseijin_r,おれは二十面相だ／妖星人Ｒ,江戸川乱歩推理文庫、講談社,1988-09-08
