見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
団員,だんいん,団員,名詞,普通名詞,代表表記:団員/だんいん カテゴリ:人,動く映画館,0,2
な,な,だ,判定詞,*,NIL,動く映画館,0,2
のです,のです,のだ,助動詞,*,NIL,動く映画館,0,2
。,。,。,特殊,句点,NIL,動く映画館,0,2
ふた,ふた,ふた,名詞,数詞,カテゴリ:数量 連語由来,動く映画館,0,3
り,り,り,接尾辞,名詞性名詞助数辞,代表表記:り/り カテゴリ:人 準内容語 連語由来,動く映画館,0,3
は,は,は,助詞,副助詞,NIL,動く映画館,0,3
小学校,しょうがっこう,小学校,名詞,普通名詞,代表表記:小学校/しょうがっこう ドメイン:教育・学習 カテゴリ:場所-施設 組織名末尾,動く映画館,0,3
の,の,の,助詞,接続助詞,NIL,動く映画館,0,3
六,ろく,六,名詞,数詞,カテゴリ:数量,動く映画館,0,3
年生,ねんせい,年生,接尾辞,名詞性名詞助数辞,代表表記:年生/ねんせい カテゴリ:人 準内容語,動く映画館,0,3
です,です,だ,判定詞,*,NIL,動く映画館,0,3
が,が,が,助詞,接続助詞,NIL,動く映画館,0,3
、,、,、,特殊,読点,NIL,動く映画館,0,3
井上,いのうえ,井上,名詞,人名,人名:日本:姓:17:0.00485,動く映画館,0,3
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,動く映画館,0,3
は,は,は,助詞,副助詞,NIL,動く映画館,0,3
クラス,くらす,クラス,名詞,普通名詞,代表表記:クラス/くらす ドメイン:教育・学習 カテゴリ:組織・団体;抽象物,動く映画館,0,3
でも,でも,でも,助詞,副助詞,NIL,動く映画館,0,3
、,、,、,特殊,読点,NIL,動く映画館,0,3
いちばん,いちばん,いちばん,副詞,*,代表表記:一番/いちばん 用言弱修飾 相対名詞修飾,動く映画館,0,3
からだ,からだ,からだ,名詞,普通名詞,代表表記:体/からだ カテゴリ:動物 漢字読み:訓,動く映画館,0,3
が,が,が,助詞,格助詞,NIL,動く映画館,0,3
大きく,おおきく,大きい,形容詞,*,代表表記:大きい/おおきい 反義:形容詞:小さい/ちいさい,動く映画館,0,3
力,ちから,力,名詞,普通名詞,代表表記:力/ちから カテゴリ:抽象物 漢字読み:訓,動く映画館,0,3
も,も,も,助詞,副助詞,NIL,動く映画館,0,3
強い,つよい,強い,形容詞,*,代表表記:強い/つよい 反義:形容詞:弱い/よわい,動く映画館,0,3
うえ,うえ,うえ,名詞,副詞的名詞,代表表記:上/うえ,動く映画館,0,3
に,に,に,助詞,格助詞,NIL,動く映画館,0,3
、,、,、,特殊,読点,NIL,動く映画館,0,3
ときどき,ときどき,ときどき,副詞,*,代表表記:時々/ときどき,動く映画館,0,3
、,、,、,特殊,読点,NIL,動く映画館,0,3
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,動く映画館,0,3
