見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
イン,いん,イン,名詞,サ変名詞,代表表記:イン/いん カテゴリ:場所-機能,< 章なし >,0,0
パーフェクト,ぱーふぇくと,パーフェクトだ,形容詞,*,代表表記:パーフェクトだ/ぱーふぇくとだ,< 章なし >,0,0
・,・,・,特殊,記号,NIL,< 章なし >,0,0
クライム,クライム,クライム,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:アニエスカ・ホランド Wikipedia上位語:犯罪コメディ映画,< 章なし >,0,0
。,。,。,特殊,句点,NIL,< 章なし >,0,0
「,「,「,特殊,括弧始,NIL,< 章なし >,0,1
で,で,で,助詞,格助詞,NIL,< 章なし >,0,1
犯行,はんこう,犯行,名詞,普通名詞,代表表記:犯行/はんこう ドメイン:政治 カテゴリ:抽象物,< 章なし >,0,1
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,1
手掛,てがかり,手掛,名詞,普通名詞,代表表記:手掛かり/てがかり カテゴリ:抽象物 〜を〜に構成語,< 章なし >,0,1
は,は,は,助詞,副助詞,NIL,< 章なし >,0,1
？,？,？,特殊,記号,NIL,< 章なし >,0,1
被害,ひがい,被害,名詞,普通名詞,代表表記:被害/ひがい カテゴリ:抽象物,< 章なし >,0,1
者,しゃ,者,接尾辞,名詞性名詞接尾辞,代表表記:者/しゃ カテゴリ:人 内容語,< 章なし >,0,1
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,1
身許,身許,身許,未定義語,その他,未知語:漢字 品詞推定:名詞,< 章なし >,0,1
が,が,が,助詞,格助詞,NIL,< 章なし >,0,1
分ら,分ら,分る,動詞,*,代表表記:分る/分る 自動獲得:テキスト,< 章なし >,0,1
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,1
と,と,と,助詞,格助詞,NIL,< 章なし >,0,1
する,する,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,< 章なし >,0,1
と,と,と,助詞,格助詞,NIL,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
せめて,せめて,せめて,副詞,*,代表表記:せめて/せめて,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
犯人,はんにん,犯人,名詞,普通名詞,代表表記:犯人/はんにん ドメイン:政治 カテゴリ:人,< 章なし >,0,1
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,1
手口,てぐち,手口,名詞,普通名詞,代表表記:手口/てぐち カテゴリ:抽象物,< 章なし >,0,1
を,を,を,助詞,格助詞,NIL,< 章なし >,0,1
示す,しめす,示す,動詞,*,代表表記:示す/しめす,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
一,いち,一,名詞,数詞,カテゴリ:数量,< 章なし >,0,1
寸,すん,寸,接尾辞,名詞性名詞助数辞,代表表記:寸/すん 準内容語,< 章なし >,0,1
した,した,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,< 章なし >,0,1
証拠,しょうこ,証拠,名詞,普通名詞,代表表記:証拠/しょうこ ドメイン:政治 カテゴリ:抽象物,< 章なし >,0,1
でも,でも,でも,助詞,副助詞,NIL,< 章なし >,0,1
残って,のこって,残る,動詞,*,代表表記:残る/のこる 自他動詞:他:残す/のこす,< 章なし >,0,1
は,は,は,助詞,副助詞,NIL,< 章なし >,0,1
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,1
なかった,なかった,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,1
かしら,かしら,かしら,助詞,終助詞,NIL,< 章なし >,0,1
」,」,」,特殊,括弧終,NIL,< 章なし >,0,1
正岡,まさおか,正岡,名詞,人名,人名:日本:姓:1321:0.00013,< 章なし >,0,1
警部,けいぶ,警部,名詞,普通名詞,代表表記:警部/けいぶ ドメイン:政治 カテゴリ:人 人名末尾,< 章なし >,0,1
が,が,が,助詞,格助詞,NIL,< 章なし >,0,1
鎌倉,かまくら,鎌倉,名詞,地名,代表表記:鎌倉/かまくら 地名:日本:神奈川県:市,< 章なし >,0,1
署,しょ,署,名詞,普通名詞,代表表記:署/しょ ドメイン:政治 カテゴリ:場所-施設 漢字読み:音 組織名末尾,< 章なし >,0,1
長,ちょう,長,名詞,普通名詞,代表表記:長/ちょう カテゴリ:人 漢字読み:音,< 章なし >,0,1
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,1
顔色,かおいろ,顔色,名詞,普通名詞,代表表記:顔色/かおいろ カテゴリ:色,< 章なし >,0,1
を,を,を,助詞,格助詞,NIL,< 章なし >,0,1
読む,よむ,読む,動詞,*,代表表記:読む/よむ,< 章なし >,0,1
ように,ように,ようだ,助動詞,*,NIL,< 章なし >,0,1
して,して,する,接尾辞,動詞性接尾辞,代表表記:する/する,< 章なし >,0,1
尋ねた,たずねた,尋ねる,動詞,*,代表表記:尋ねる/たずねる,< 章なし >,0,1
。,。,。,特殊,句点,NIL,< 章なし >,0,1
と,と,と,助詞,格助詞,NIL,< 章なし >,0,2
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,< 章なし >,0,2
の,の,の,名詞,形式名詞,NIL,< 章なし >,0,2
は,は,は,助詞,副助詞,NIL,< 章なし >,0,2
署長,しょちょう,署長,名詞,普通名詞,代表表記:署長/しょちょう ドメイン:政治 カテゴリ:人,< 章なし >,0,2
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,2
