見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
も,も,も,助詞,副助詞,NIL,きもだめしの会,0,1
ちがって,ちがって,ちがう,動詞,*,代表表記:違う/ちがう 反義:形容詞:同じだ/おなじだ 自他動詞:他:違える/ちがえる 付属動詞候補（基本）,きもだめしの会,0,1
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,きもだめしの会,0,1
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,きもだめしの会,0,1
が,が,が,助詞,格助詞,NIL,きもだめしの会,0,1
おおい,おおい,おおい,形容詞,*,代表表記:多い/おおい 反義:形容詞:少ない/すくない,きもだめしの会,0,1
ので,ので,のだ,助動詞,*,NIL,きもだめしの会,0,1
、,、,、,特殊,読点,NIL,きもだめしの会,0,1
この,この,この,指示詞,連体詞形態指示詞,NIL,きもだめしの会,0,1
二十,二十,二十,名詞,数詞,カテゴリ:数量 未知語:数字,きもだめしの会,0,1
人,にん,人,接尾辞,名詞性名詞助数辞,代表表記:人/にん カテゴリ:人 準内容語,きもだめしの会,0,1
が,が,が,助詞,格助詞,NIL,きもだめしの会,0,1
、,、,、,特殊,読点,NIL,きもだめしの会,0,1
いつでも,いつでも,いつでも,副詞,*,代表表記:何時でも/いつでも,きもだめしの会,0,1
集まる,あつまる,集まる,動詞,*,代表表記:集まる/あつまる 自他動詞:他:集める/あつめる,きもだめしの会,0,1
わけで,わけで,わけだ,助動詞,*,NIL,きもだめしの会,0,1
は,は,は,助詞,副助詞,NIL,きもだめしの会,0,1
あり,あり,ある,接尾辞,動詞性接尾辞,代表表記:ある/ある,きもだめしの会,0,1
ませ,ませ,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,きもだめしの会,0,1
ん,ん,ぬ,助動詞,*,NIL,きもだめしの会,0,1
。,。,。,特殊,句点,NIL,きもだめしの会,0,1
とき,とき,とき,名詞,時相名詞,代表表記:時/とき カテゴリ:時間 漢字読み:訓 弱時相名詞,きもだめしの会,0,2
に,に,に,助詞,格助詞,NIL,きもだめしの会,0,2
よって,よって,よる,動詞,*,代表表記:因る/よる,きもだめしの会,0,2
、,、,、,特殊,読点,NIL,きもだめしの会,0,2
事件,じけん,事件,名詞,普通名詞,代表表記:事件/じけん ドメイン:政治 カテゴリ:抽象物,きもだめしの会,0,2
に,に,に,助詞,格助詞,NIL,きもだめしの会,0,2
かんけい,かんけい,かんけい,名詞,サ変名詞,代表表記:関係/かんけい カテゴリ:抽象物,きもだめしの会,0,2
する,する,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,きもだめしの会,0,2
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,きもだめしの会,0,2
たち,たち,たち,接尾辞,名詞性名詞接尾辞,代表表記:達/たち,きもだめしの会,0,2
の,の,の,助詞,格助詞,NIL,きもだめしの会,0,2
、,、,、,特殊,読点,NIL,きもだめしの会,0,2
