見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
の,の,の,助詞,格助詞,NIL,腹話術,0,1
小さな,ちいさな,小さな,連体詞,*,代表表記:小さな/ちいさな 反義:連体詞:大きな/おおきな 形容詞派生:小さい/ちいさい,腹話術,0,1
公園,こうえん,公園,名詞,普通名詞,代表表記:公園/こうえん ドメイン:レクリエーション カテゴリ:場所-施設,腹話術,0,1
で,で,で,助詞,格助詞,NIL,腹話術,0,1
、,、,、,特殊,読点,NIL,腹話術,0,1
みどりの,みどりの,みどりの,名詞,地名,代表表記:みどりの/みどりの 地名:日本 DEV:body3,腹話術,0,1
林,はやし,林,名詞,普通名詞,代表表記:林/はやし カテゴリ:場所-自然 漢字読み:訓 地名末尾,腹話術,0,1
に,に,に,助詞,格助詞,NIL,腹話術,0,1
かこま,かこま,かこむ,動詞,*,代表表記:囲む/かこむ,腹話術,0,1
れ,れ,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,腹話術,0,1
、,、,、,特殊,読点,NIL,腹話術,0,1
三分の二,三分の二,三分の二,名詞,数詞,カテゴリ:数量 未知語:数字,腹話術,0,1
は,は,は,助詞,副助詞,NIL,腹話術,0,1
芝生,しばふ,芝生,名詞,普通名詞,代表表記:芝生/しばふ カテゴリ:植物,腹話術,0,1
、,、,、,特殊,読点,NIL,腹話術,0,1
三分の一,三分の一,三分の一,名詞,数詞,カテゴリ:数量 未知語:数字,腹話術,0,1
は,は,は,助詞,副助詞,NIL,腹話術,0,1
砂場,すなば,砂場,名詞,普通名詞,代表表記:砂場/すなば ドメイン:レクリエーション カテゴリ:場所-その他,腹話術,0,1
に,に,に,助詞,格助詞,NIL,腹話術,0,1
なって,なって,なる,動詞,*,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する,腹話術,0,1
いて,いて,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,腹話術,0,1
、,、,、,特殊,読点,NIL,腹話術,0,1
砂場,すなば,砂場,名詞,普通名詞,代表表記:砂場/すなば ドメイン:レクリエーション カテゴリ:場所-その他,腹話術,0,1
の,の,の,助詞,接続助詞,NIL,腹話術,0,1
ほう,ほう,ほう,名詞,副詞的名詞,代表表記:方/ほう,腹話術,0,1
に,に,に,助詞,格助詞,NIL,腹話術,0,1
は,は,は,助詞,副助詞,NIL,腹話術,0,1
、,、,、,特殊,読点,NIL,腹話術,0,1
ぶらんこ,ぶらんこ,ぶらんこ,名詞,普通名詞,代表表記:ブランコ/ぶらんこ ドメイン:レクリエーション カテゴリ:人工物-その他,腹話術,0,1
や,や,や,助詞,接続助詞,NIL,腹話術,0,1
すべり台,すべりだい,すべり台,名詞,普通名詞,代表表記:滑り台/すべりだい ドメイン:レクリエーション カテゴリ:人工物-その他,腹話術,0,1
、,、,、,特殊,読点,NIL,腹話術,0,1
芝生,しばふ,芝生,名詞,普通名詞,代表表記:芝生/しばふ カテゴリ:植物,腹話術,0,1
の,の,の,助詞,格助詞,NIL,腹話術,0,1
まわり,まわり,まわり,名詞,普通名詞,代表表記:周り/まわり カテゴリ:場所-その他,腹話術,0,1
に,に,に,助詞,格助詞,NIL,腹話術,0,1
は,は,は,助詞,副助詞,NIL,腹話術,0,1
、,、,、,特殊,読点,NIL,腹話術,0,1
屋根,やね,屋根,名詞,普通名詞,代表表記:屋根/やね カテゴリ:場所-施設部位,腹話術,0,1
の,の,の,助詞,格助詞,NIL,腹話術,0,1
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,腹話術,0,1
やすみ,やすみ,やすみ,名詞,人名,自動獲得:Wikipedia Wikipedia人名 Wikipedia名,腹話術,0,1
場所,ばしょ,場所,名詞,普通名詞,代表表記:場所/ばしょ カテゴリ:場所-その他,腹話術,0,1
や,や,や,助詞,接続助詞,NIL,腹話術,0,1
、,、,、,特殊,読点,NIL,腹話術,0,1
ベンチ,べんち,ベンチ,名詞,普通名詞,代表表記:ベンチ/べんち ドメイン:スポーツ カテゴリ:人工物-その他,腹話術,0,1
など,など,など,助詞,副助詞,NIL,腹話術,0,1
が,が,が,助詞,格助詞,NIL,腹話術,0,1
あり,あり,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,腹話術,0,1
