見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
ところ,ところ,ところ,名詞,副詞的名詞,代表表記:ところ/ところ,骸骨紳士,0,1
です,です,だ,判定詞,*,NIL,骸骨紳士,0,1
。,。,。,特殊,句点,NIL,骸骨紳士,0,1
ノロ,のろ,ノロ,名詞,普通名詞,代表表記:ノロ/のろ 自動獲得:テキスト 副詞識別,骸骨紳士,0,2
ちゃん,ちゃん,ちゃん,接尾辞,名詞性名詞接尾辞,代表表記:ちゃん/ちゃん,骸骨紳士,0,2
と,と,と,助詞,格助詞,NIL,骸骨紳士,0,2
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,骸骨紳士,0,2
の,の,の,名詞,形式名詞,NIL,骸骨紳士,0,2
は,は,は,助詞,副助詞,NIL,骸骨紳士,0,2
、,、,、,特殊,読点,NIL,骸骨紳士,0,2
野呂,のろ,野呂,名詞,人名,人名:日本:姓:1232:0.00015,骸骨紳士,0,2
一平,いっぺい,一平,名詞,人名,人名:日本:名:854:0.00020,骸骨紳士,0,2
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,骸骨紳士,0,2
の,の,の,助詞,接続助詞,NIL,骸骨紳士,0,2
あだな,あだな,あだな,名詞,普通名詞,代表表記:徒名/あだな カテゴリ:抽象物,骸骨紳士,0,2
です,です,だ,判定詞,*,NIL,骸骨紳士,0,2
。,。,。,特殊,句点,NIL,骸骨紳士,0,2
ノロ,のろ,ノロ,名詞,普通名詞,代表表記:ノロ/のろ 自動獲得:テキスト 副詞識別,骸骨紳士,0,3
ちゃん,ちゃん,ちゃん,接尾辞,名詞性名詞接尾辞,代表表記:ちゃん/ちゃん,骸骨紳士,0,3
は,は,は,助詞,副助詞,NIL,骸骨紳士,0,3
団員,だんいん,団員,名詞,普通名詞,代表表記:団員/だんいん カテゴリ:人,骸骨紳士,0,3
の,の,の,助詞,接続助詞,NIL,骸骨紳士,0,3
うち,うち,うち,名詞,副詞的名詞,代表表記:うち/うち,骸骨紳士,0,3
で,で,で,助詞,格助詞,NIL,骸骨紳士,0,3
いちばん,いちばん,いちばん,副詞,*,代表表記:一番/いちばん 用言弱修飾 相対名詞修飾,骸骨紳士,0,3
、,、,、,特殊,読点,NIL,骸骨紳士,0,3
おくびょう,おくびょう,おくびょうだ,形容詞,*,代表表記:臆病だ/おくびょうだ,骸骨紳士,0,3
もの,もの,もの,名詞,普通名詞,代表表記:物/もの カテゴリ:人工物-その他 漢字読み:訓,骸骨紳士,0,3
です,です,だ,判定詞,*,NIL,骸骨紳士,0,3
が,が,が,助詞,接続助詞,NIL,骸骨紳士,0,3
、,、,、,特殊,読点,NIL,骸骨紳士,0,3
