見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
下宿,げしゅく,下宿,名詞,サ変名詞,代表表記:下宿/げしゅく ドメイン:家庭・暮らし カテゴリ:抽象物,0,3
屋,や,屋,名詞,普通名詞,代表表記:屋/や カテゴリ:場所-施設 漢字読み:訓,0,3
に,に,に,助詞,格助詞,NIL,0,3
ゴロゴロ,ごろごろ,ゴロゴロ,副詞,*,代表表記:ゴロゴロ/ごろごろ スル接続可能,0,3
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,0,3
本,ほん,本,名詞,普通名詞,代表表記:本/ほん カテゴリ:人工物-その他;抽象物 漢字読み:音,0,3
でも,でも,でも,助詞,副助詞,NIL,0,3
読んで,よんで,読む,動詞,*,代表表記:読む/よむ,0,3
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,3
か,か,か,助詞,接続助詞,NIL,0,3
